Reference	EMN001	TAF017	VLC001
k141_19592	0	0	1923
k141_196793	561	455	1085
k141_100843	2	4	854
k141_114577	40	74	16115
k141_133044	27	29	3786
k141_40984	3748	20572	5
k141_79483	5	0	3954
k141_111768	22	426	2994
k141_47456	745	255	3752
k141_62123	0	10	4118
k141_146987	214	120	11078
k141_171620	209	149	29233
k141_175699	9	22	4108
k141_5023	1	1	4357
k141_12229	236	123	3443
k141_19603	7	79	2572
k141_210918	567	359	798
k141_93601	101	39	3316
k141_68929	461	396	4439
k141_83070	237	74	5830
k141_51217	383	469	4580
k141_182531	7	11	1795
k141_143729	0	1	824
k141_107744	1914	828	12052
k141_207233	38	50	9546
k141_193234	0	0	1349
k141_79490	0	1	3052
k141_218285	1	1	1514
k141_147015	0	2	4144
k141_62154	587	221	3452
k141_5054	0	4	854
k141_19637	142	1	2361
k141_111773	247	84	15537
k141_54854	1	2	3651
k141_97514	0	0	803
k141_44286	0	77	9656
k141_196857	103	157	5739
k141_33649	13	54	10525
k141_83102	4	0	7225
k141_79491	4234	24957	0
k141_154115	1	0	1193
k141_104776	0	27	6475
k141_218288	11	44	8491
k141_200421	979	289	4773
k141_214444	7	21	11194
k141_68977	144	29	3058
k141_171661	7	0	4323
k141_182604	1	3	1989
k141_168279	6	7	5092
k141_189849	4191	26057	2
k141_97544	19	11	4265
k141_58049	3798	22313	1
k141_224930	1	0	11104
k141_54892	373	361	2541
k141_193289	44	7	3598
k141_196908	5	0	1823
k141_133084	2823	1180	16688
k141_37015	1270	471	5808
k141_218319	4860	46	4261
k141_47569	56	185	1514
k141_104813	261	400	3149
k141_83151	3249	0	0
k141_26324	22	25	8655
k141_5123	330	416	3333
k141_178944	18	48	5905
k141_97572	136	265	2013
k141_76461	1	34	3632
k141_196945	2	0	866
k141_19749	1	0	1868
k141_133110	11	1	757
k141_125802	0	0	4549
k141_150638	375	501	4367
k141_41190	693	450	14406
k141_54930	44	15	2202
k141_224956	13	82	2201
k141_118827	0	54	6193
k141_182665	3	61	6066
