SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	ClusterCenterDist
0146	VLC_EMN_TAF_min10k_sorted_md_k141_47822_n1202	1202	1.0	0.0	0.0	0.217
0147	VLC_EMN_TAF_min10k_sorted_md_k141_39747_n3448	3448	1.0	0.0	0.0	0.2486
0148	VLC_EMN_TAF_min10k_sorted_md_k141_10479_n6938	6938	1.0	0.0	0.0	0.1509
0149	VLC_EMN_TAF_min10k_sorted_md_k141_167262_n2660	2660	1.0	0.0	0.0	0.2004
0150	VLC_EMN_TAF_min10k_sorted_md_k141_132460_n12248	12248	1.0	0.0	0.0	0.1564
0151	VLC_EMN_TAF_min10k_sorted_md_k141_170543_n1058	1058	1.0	0.0	0.0	0.8008
0152	VLC_EMN_TAF_min10k_sorted_md_k141_53240_n1547	1547	1.0	0.0	0.0	0.3824
0153	VLC_EMN_TAF_min10k_sorted_md_k141_147015_n4144	4144	1.0	0.0	0.0	0.1735
0154	VLC_EMN_TAF_min10k_sorted_md_k141_226581_n2777	2777	1.0	0.0	0.0	0.1832
0155	VLC_EMN_TAF_min10k_sorted_md_k141_20703_n2839	2839	1.0	0.0	0.0	0.1793
0156	VLC_EMN_TAF_min10k_sorted_md_k141_3959_n3900	3900	1.0	0.0	0.0	0.1237
0157	VLC_EMN_TAF_min10k_sorted_md_k141_65470_n6948	6948	1.0	0.0	0.0	0.4914
0158	VLC_EMN_TAF_min10k_sorted_md_k141_115558_n2082	2082	1.0	0.0	0.0	0.3742
0159	VLC_EMN_TAF_min10k_sorted_md_k141_223871_n4974	4974	1.0	0.0	0.0	0.1651
0160	VLC_EMN_TAF_min10k_sorted_md_k141_93211_n4072	4072	1.0	0.0	0.0	0.6418
0161	VLC_EMN_TAF_min10k_sorted_md_k141_219173_n6521	6521	1.0	0.0	0.0	0.5379
0162	VLC_EMN_TAF_min10k_sorted_md_k141_151856_n1557	1557	1.0	0.0	0.0	0.223
0163	VLC_EMN_TAF_min10k_sorted_md_k141_74275_n5126	5126	1.0	0.0	0.0	0.1791
0164	VLC_EMN_TAF_min10k_sorted_md_k141_182873_n4622	4622	1.0	0.0	0.0	0.1531
0165	VLC_EMN_TAF_min10k_sorted_md_k141_108886_n12059	12059	1.0	0.0	0.0	0.4854
0166	VLC_EMN_TAF_min10k_sorted_md_k141_87192_n1066	1066	1.0	0.0	0.0	0.7213
0167	VLC_EMN_TAF_min10k_sorted_md_k141_114411_n1666	1666	1.0	0.0	0.0	0.2531
0168	VLC_EMN_TAF_min10k_sorted_md_k141_87371_n9452	9452	1.0	0.0	0.0	0.1625
0169	VLC_EMN_TAF_min10k_sorted_md_k141_42115_n8421	8421	1.0	0.0	0.0	0.1087
0170	VLC_EMN_TAF_min10k_sorted_md_k141_109592_n4007	4007	1.0	0.0	0.0	0.142
0171	VLC_EMN_TAF_min10k_sorted_md_k141_75628_n10565	10565	1.0	0.0	0.0	0.0946
0172	VLC_EMN_TAF_min10k_sorted_md_k141_211471_n4266	4266	1.0	0.0	0.0	0.1381
0173	VLC_EMN_TAF_min10k_sorted_md_k141_197968_n4105	4105	1.0	0.0	0.0	0.177
0174	VLC_EMN_TAF_min10k_sorted_md_k141_127696_n3345	3345	1.0	0.0	0.0	0.205
0175	VLC_EMN_TAF_min10k_sorted_md_k141_10328_n12289	12289	1.0	0.0	0.0	0.0727
0176	VLC_EMN_TAF_min10k_sorted_md_k141_47331_n1654	1654	1.0	0.0	0.0	0.2425
0177	VLC_EMN_TAF_min10k_sorted_md_k141_187163_n4998	4998	1.0	0.0	0.0	0.1536
0178	VLC_EMN_TAF_min10k_sorted_md_k141_11501_n1935	1935	1.0	0.0	0.0	0.1345
0179	VLC_EMN_TAF_min10k_sorted_md_k141_8371_n10561	10561	1.0	0.0	0.0	0.4021
0180	VLC_EMN_TAF_min10k_sorted_md_k141_29485_n5226	5226	1.0	0.0	0.0	0.1092
0181	VLC_EMN_TAF_min10k_sorted_md_k141_115883_n4824	4824	1.0	0.0	0.0	0.2085
0182	VLC_EMN_TAF_min10k_sorted_md_k141_206982_n3887	3887	1.0	0.0	0.0	0.1954
0183	VLC_EMN_TAF_min10k_sorted_md_k141_56070_n11159	11159	1.0	0.0	0.0	0.1413
0184	VLC_EMN_TAF_min10k_sorted_md_k141_59135_n3188	3188	1.0	0.0	0.0	0.098
0185	VLC_EMN_TAF_min10k_sorted_md_k141_55914_n4330	4330	1.0	0.0	0.0	0.1662
0186	VLC_EMN_TAF_min10k_sorted_md_k141_27764_n4432	4432	1.0	0.0	0.0	0.177
0187	VLC_EMN_TAF_min10k_sorted_md_k141_194934_n3030	3030	1.0	0.0	0.0	0.2057
0188	VLC_EMN_TAF_min10k_sorted_md_k141_141813_n1389	1389	1.0	0.0	0.0	0.2618
0189	VLC_EMN_TAF_min10k_sorted_md_k141_68034_n14492	14492	1.0	0.0	0.0	0.0941
0190	VLC_EMN_TAF_min10k_sorted_md_k141_20205_n2144	2144	1.0	0.0	0.0	0.2343
0191	VLC_EMN_TAF_min10k_sorted_md_k141_162265_n10982	10982	1.0	0.0	0.0	0.1212
0192	VLC_EMN_TAF_min10k_sorted_md_k141_195085_n6230	6230	1.0	0.0	0.0	0.1081
0193	VLC_EMN_TAF_min10k_sorted_md_k141_194436_n2278	2278	1.0	0.0	0.0	0.2732
0194	VLC_EMN_TAF_min10k_sorted_md_k141_191604_n11935	11935	1.0	0.0	0.0	0.1325
0195	VLC_EMN_TAF_min10k_sorted_md_k141_202035_n1644	1644	1.0	0.0	0.0	0.4388
0196	VLC_EMN_TAF_min10k_sorted_md_k141_15057_n2371	2371	1.0	0.0	0.0	0.1524
0197	VLC_EMN_TAF_min10k_sorted_md_k141_112617_n4825	4825	1.0	0.0	0.0	0.1447
0198	VLC_EMN_TAF_min10k_sorted_md_k141_173102_n8532	8532	1.0	0.0	0.0	0.1169
0199	VLC_EMN_TAF_min10k_sorted_md_k141_136672_n1414	1414	1.0	0.0	0.0	0.2233
0200	VLC_EMN_TAF_min10k_sorted_md_k141_191574_n1558	1558	1.0	0.0	0.0	0.675
0201	VLC_EMN_TAF_min10k_sorted_md_k141_165989_n1920	1920	1.0	0.0	0.0	0.2231
0202	VLC_EMN_TAF_min10k_sorted_md_k141_154727_n9028	9028	1.0	0.0	0.0	0.1925
0203	VLC_EMN_TAF_min10k_sorted_md_k141_2811_n3798	3798	1.0	0.0	0.0	0.1331
0204	VLC_EMN_TAF_min10k_sorted_md_k141_140654_n2619	2619	1.0	0.0	0.0	0.1578
0205	VLC_EMN_TAF_min10k_sorted_md_k141_216966_n2364	2364	1.0	0.0	0.0	0.3158
0206	VLC_EMN_TAF_min10k_sorted_md_k141_162587_n1718	1718	1.0	0.0	0.0	0.1586
0207	VLC_EMN_TAF_min10k_sorted_md_k141_196789_n11641	11641	1.0	0.0	0.0	0.1166
0208	VLC_EMN_TAF_min10k_sorted_md_k141_48456_n4321	4321	1.0	0.0	0.0	0.2247
0209	VLC_EMN_TAF_min10k_sorted_md_k141_80123_n6948	6948	1.0	0.0	0.0	0.1421
0210	VLC_EMN_TAF_min10k_sorted_md_k141_134587_n3027	3027	1.0	0.0	0.0	0.2902
0211	VLC_EMN_TAF_min10k_sorted_md_k141_2872_n3337	3337	1.0	0.0	0.0	0.5524
0212	VLC_EMN_TAF_min10k_sorted_md_k141_94405_n3230	3230	1.0	0.0	0.0	0.1231
0213	VLC_EMN_TAF_min10k_sorted_md_k141_53077_n4702	4702	1.0	0.0	0.0	0.1722
0214	VLC_EMN_TAF_min10k_sorted_md_k141_218285_n1514	1514	1.0	0.0	0.0	0.2206
0215	VLC_EMN_TAF_min10k_sorted_md_k141_88232_n2874	2874	1.0	0.0	0.0	0.2952
0216	VLC_EMN_TAF_min10k_sorted_md_k141_54989_n8555	8555	1.0	0.0	0.0	0.1281
0217	VLC_EMN_TAF_min10k_sorted_md_k141_191116_n4628	4628	1.0	0.0	0.0	0.1393
0218	VLC_EMN_TAF_min10k_sorted_md_k141_193030_n4326	4326	1.0	0.0	0.0	0.1036
0219	VLC_EMN_TAF_min10k_sorted_md_k141_203643_n1660	1660	1.0	0.0	0.0	0.1869
0220	VLC_EMN_TAF_min10k_sorted_md_k141_193094_n8285	8285	1.0	0.0	0.0	0.119
0221	VLC_EMN_TAF_min10k_sorted_md_k141_73851_n7438	7438	1.0	0.0	0.0	0.1743
0222	VLC_EMN_TAF_min10k_sorted_md_k141_38412_n4479	4479	1.0	0.0	0.0	0.2085
0223	VLC_EMN_TAF_min10k_sorted_md_k141_35413_n6697	6697	1.0	0.0	0.0	0.1382
0224	VLC_EMN_TAF_min10k_sorted_md_k141_170430_n10384	10384	1.0	0.0	0.0	0.1613
0225	VLC_EMN_TAF_min10k_sorted_md_k141_43938_n1159	1159	1.0	0.0	0.0	0.9152
0226	VLC_EMN_TAF_min10k_sorted_md_k141_40752_n2885	2885	1.0	0.0	0.0	0.2403
0227	VLC_EMN_TAF_min10k_sorted_md_k141_68756_n3487	3487	1.0	0.0	0.0	0.1789
0228	VLC_EMN_TAF_min10k_sorted_md_k141_183989_n5898	5898	1.0	0.0	0.0	0.2006
0229	VLC_EMN_TAF_min10k_sorted_md_k141_146332_n7141	7141	1.0	0.0	0.0	0.187
0230	VLC_EMN_TAF_min10k_sorted_md_k141_77794_n5871	5871	1.0	0.0	0.0	0.1383
0231	VLC_EMN_TAF_min10k_sorted_md_k141_201798_n5538	5538	1.0	0.0	0.0	0.1158
0232	VLC_EMN_TAF_min10k_sorted_md_k141_164968_n2204	2204	1.0	0.0	0.0	0.3192
0233	VLC_EMN_TAF_min10k_sorted_md_k141_173383_n1305	1305	1.0	0.0	0.0	0.1859
0234	VLC_EMN_TAF_min10k_sorted_md_k141_194677_n2573	2573	1.0	0.0	0.0	0.2318
0235	VLC_EMN_TAF_min10k_sorted_md_k141_79716_n8748	8748	1.0	0.0	0.0	0.1673
0236	VLC_EMN_TAF_min10k_sorted_md_k141_164900_n1879	1879	1.0	0.0	0.0	0.2069
0237	VLC_EMN_TAF_min10k_sorted_md_k141_59058_n1597	1597	1.0	0.0	0.0	0.2529
0238	VLC_EMN_TAF_min10k_sorted_md_k141_157952_n4147	4147	1.0	0.0	0.0	0.1834
0239	VLC_EMN_TAF_min10k_sorted_md_k141_13391_n7718	7718	1.0	0.0	0.0	0.2147
0240	VLC_EMN_TAF_min10k_sorted_md_k141_27105_n1780	1780	1.0	0.0	0.0	0.3512
0241	VLC_EMN_TAF_min10k_sorted_md_k141_134355_n2107	2107	1.0	0.0	0.0	0.2719
0242	VLC_EMN_TAF_min10k_sorted_md_k141_116661_n4782	4782	1.0	0.0	0.0	0.256
0243	VLC_EMN_TAF_min10k_sorted_md_k141_32157_n4910	4910	1.0	0.0	0.0	0.19
