Reference	EMN001	PYK001	TAF017	VLC001
k141_170987	1	0	2	1932
k141_75276	38	0	5	3442
k141_71646	1	0	3	809
k141_142721	0	0	0	359
k141_53977	1143	0	0	0
k141_61036	3	0	2	623
k141_21990	2	0	0	905
k141_46752	1956	0	0	0
k141_78711	1103	0	0	0
k141_68108	129	0	117	3817
k141_132139	14	0	4	443
k141_181657	2	0	0	1776
k141_11296	8	0	90	8665
k141_25646	37	0	51	1685
k141_18485	6	0	2	2261
k141_4136	41	0	27	2068
k141_114078	1	0	5	5623
k141_185272	4	0	34	865
k141_61044	0	0	0	1739
k141_188917	49	0	9	1271
k141_132140	0	0	1	428
k141_39921	11	0	15	2674
k141_89370	82	0	142	5169
k141_217309	16	0	1	2580
k141_128443	0	0	2	888
k141_68116	153	0	12	2019
k141_135514	0	0	1	1021
k141_18497	3	0	0	369
k141_199496	0	0	7	275
k141_89377	1282	0	1	0
k141_14732	337	0	158	422
k141_192290	1229	0	6906	0
k141_181677	71	0	115	5122
k141_195949	1406	0	10	1236
k141_25657	1	0	2	1424
k141_171013	1	0	5	1250
k141_174734	3	0	21	4312
k141_149828	2	0	1	5545
k141_224247	0	0	35	1182
k141_50398	98	0	78	2592
k141_178165	0	0	2	1107
k141_54022	69	0	20	1267
k141_7758	9	0	1	3516
k141_139112	46	0	14	2838
k141_121332	21	0	4	2034
k141_125033	5	0	0	820
k141_117793	3329	0	17	3239
k141_57307	41	0	93	15129
k141_220701	105	0	190	990
k141_71668	29	0	13	3102
k141_61055	0	0	4	1477
k141_11329	30	0	56	901
k141_149831	4	0	1	2254
k141_96576	5	0	2	816
k141_185288	3	0	0	1394
k141_210132	12	0	0	817
k141_46805	0	0	0	909
k141_178171	1	0	0	3959
k141_135523	75	0	27	2579
k141_174751	7	0	3	1037
k141_85704	0	0	24	7050
k141_132151	4728	0	37	4060
k141_188939	0	0	0	2472
k141_103772	24	0	1	1841
k141_64511	1	0	6	357
k141_153262	5150	0	42	4613
k141_32662	1	0	3	1602
k141_22033	8	0	13	270
k141_7772	13	0	163	2319
k141_206420	2175	0	858	10081
k141_149833	5	0	2	1136
k141_107134	1014	0	6495	0
k141_18543	1246	0	7383	0
k141_11336	22	0	9	788
k141_188941	222	0	15	1281
k141_217362	5	0	0	1401
k141_167491	0	0	136	15379
k141_29013	61	0	88	2531
k141_39954	3830	0	0	0
k141_125051	0	0	0	2178
k141_220720	59	0	83	3413
k141_195962	20	0	19	7193
k141_139132	420	0	184	626
k141_32671	134	0	152	6672
k141_75358	0	0	3	437
k141_135532	2	0	10	2266
k141_128484	3	0	1	742
k141_36275	7	0	1	557
k141_174777	3	0	19	1078
k141_103795	23	0	9	288
k141_146263	3	0	6	4598
k141_224279	1610	0	10729	0
k141_107139	0	0	0	1300
k141_163940	3	0	47	1301
k141_149837	2	0	7	2205
k141_7796	18	0	3	1984
k141_210150	400	0	376	12924
k141_114092	0	0	4	15964
k141_82256	497	0	366	40159
k141_224280	20	0	16	1200
k141_213695	1	0	30	1210
k141_181745	10	0	3	247
k141_92871	25	0	9	24814
k141_43476	0	0	0	801
k141_195972	0	0	0	4775
k141_96631	1	0	1	932
k141_50443	57	0	9	443
k141_7802	2	0	1	701
